X1,Y1,X2,Y2
6254708.076745,7958521.945621,6254024.819002,7959228.763976
6254024.819002,7959228.763976,6254708.076745,7958521.945621
6256020.739405,7957986.783152,6254300.814741,7959545.149335
6254300.814741,7959545.149335,6256020.739405,7957986.783152
6255293.72624,7958461.36119,6255519.234953,7958451.263785
6255519.234953,7958451.263785,6255293.72624,7958461.36119
6255293.72624,7958461.36119,6255111.972948,7959043.644883
6255111.972948,7959043.644883,6255293.72624,7958461.36119
6255438.455713,7959710.073618,6255111.972948,7959043.644883
6255111.972948,7959043.644883,6255438.455713,7959710.073618
6255876.009932,7959649.489187,6255438.455713,7959710.073618
6255438.455713,7959710.073618,6255876.009932,7959649.489187
6256138.542464,7959195.105959,6255876.009932,7959649.489187
6255876.009932,7959649.489187,6256138.542464,7959195.105959
6256138.542464,7959195.105959,6256475.122634,7958979.694651
6256475.122634,7958979.694651,6256138.542464,7959195.105959
6256475.122634,7958979.694651,6256357.319574,7958720.52792
6256357.319574,7958720.52792,6256475.122634,7958979.694651
6256485.220039,7958289.705304,6256434.733013,7957714.153215
6256434.733013,7957714.153215,6256485.220039,7958289.705304
6256020.739405,7957986.783152,6255519.234953,7958451.263785
6255519.234953,7958451.263785,6256020.739405,7957986.783152
6256138.542464,7959195.105959,6255027.827906,7957589.618552
6255027.827906,7957589.618552,6256138.542464,7959195.105959
6254623.931703,7957919.467118,6256485.220039,7958289.705304
6256485.220039,7958289.705304,6254623.931703,7957919.467118
6256138.542464,7959195.105959,6253826.236702,7958010.343763
6253826.236702,7958010.343763,6256138.542464,7959195.105959
6254024.819002,7959228.763976,6256357.319574,7958720.52792
6256357.319574,7958720.52792,6254024.819002,7959228.763976
6254300.814741,7959545.149335,6253880.089529,7958774.380748
6253880.089529,7958774.380748,6254300.814741,7959545.149335
6255293.72624,7958461.36119,6254024.819002,7959228.763976
6254024.819002,7959228.763976,6255293.72624,7958461.36119
6255438.455713,7959710.073618,6255270.165628,7957310.257012
6255270.165628,7957310.257012,6255438.455713,7959710.073618
6254300.814741,7959545.149335,6256024.105207,7957555.960535
6256024.105207,7957555.960535,6254300.814741,7959545.149335
6255438.455713,7959710.073618,6256434.733013,7957714.153215
6256434.733013,7957714.153215,6255438.455713,7959710.073618
6256020.739405,7957986.783152,6254623.931703,7957919.467118
6254623.931703,7957919.467118,6256020.739405,7957986.783152
6255027.827906,7957589.618552,6254708.076745,7958521.945621
6254708.076745,7958521.945621,6255027.827906,7957589.618552
6255519.234953,7958451.263785,6254708.076745,7958521.945621
6254708.076745,7958521.945621,6255519.234953,7958451.263785
6256475.122634,7958979.694651,6255111.972948,7959043.644883
6255111.972948,7959043.644883,6256475.122634,7958979.694651
